clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
Wollongong Wolves FC,Australia,National Premier Leagues NSW,Wollongong Showground,Point(150.9025 -34.427778),https://www.wollongongwolves.com.au/
PFC Spartak Varna,Bulgaria,First Professional Football League,Spartak Stadium,Point(27.9125 43.218611),http://www.spartak1918.com/
Alanyaspor,Turkey,Turkish Süper Lig,Alanya Oba Stadium,Point(32.0791 36.5626),http://www.alanyaspor.org.tr
FC Senec,Slovakia,Slovak First Football League,NTC Senec,Point(17.410412 48.217703),http://www.fcsenec.sk
IFK Eskilstuna,Sweden,Swedish Football Division 3,Tunavallen,Point(16.495 59.370667),http://www.ifkeskilstuna.se/
KF Trepça,Kosovo,Football Superleague of Kosovo,Olympic Stadium Adem Jashari,Point(20.85088889 42.88155556),http://www.kftrepca.com/
Melbourne Knights Football Club,Australia,Victorian Premier League,Knights Stadium,Point(144.845397 -37.762208),http://www.melbourneknights.com.au/
HŠK Posušje,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina,Mokri Dolac Stadium,Point(17.32777778 43.46944444),https://hsk-posusje.com/
FK MKT Araz,Azerbaijan,Azerbaijan First Division,Heydar Aliyev Stadium,Point(48.06 39.86972222),http://www.mktaraz.com/
FK Belasica,North Macedonia,Macedonian Second Football League,Stadion Mladost,Point(22.637708 41.4462),https://fkbelasica.mk/
Monselice Calcio 1926,Italy,Prima Categoria,Stadio Artemio Franchi (Florence),Point(11.282258 43.780822),http://www.monselice1926.it/
CD Getxo,Spain,Tercera División,Estadio Fadura,Point(-3.0 43.349444444),http://cdgetxo.eus
Stade d'Abidjan,Ivory Coast,Ligue 1 (Ivory Coast),Stade Municipal d'Abidjan,Point(-4.018889 5.341944),http://www.stadedabidjan.ci/
IF Sylvia,Sweden,Swedish Football Division 1,Idrottsparken,Point(16.173055555 58.584166666),http://www.ifsylvia.se/
Indios de Ciudad Juárez,Mexico,Segunda División de México,Estadio Olímpico Benito Juárez,Point(-106.467814 31.75305),http://www.clubindios.com/
Sandvikens IF,Sweden,Swedish Football Division 1 Norra,Jernvallen,Point(16.773055555 60.608888888),http://www.sandvikensif.com/
Interclub de Brazzaville,Republic of the Congo,Congo Premier League,Stade Alphonse Massemba-Débat,Point(15.24841667 -4.27352778),http://www.inter-club.net/
Inter Moengotapoe,Suriname,Hoofdklasse,Ronnie Brunswijkstadion,Point(-54.401583 5.621239),http://www.inter-moengotapoe.net/
KF Drenica,Kosovo,Football Superleague of Kosovo,Bajram Aliu Stadium,Point(21.19472222 42.905),http://kfdrenica.com
Kahramanmaraşspor,Turkey,TFF Second League,12 Şubat Stadium,Point(36.9234 37.5741),http://www.kahramanmarasspor.org
Astres FC,Cameroon,Elite One,Stade de la Réunification,Point(9.71861 4.05556),http://www.lesastresfc.com/
Ituano Futebol Clube,Brazil,Campeonato Paulista de Futebol,Estádio Novelli Júnior,Point(-47.288083 -23.280554),https://www.ituanofc.com/
İzmirspor,Turkey,TFF Third League,Alsancak Mustafa Denizli Stadium,Point(27.1508 38.4373),http://www.izmirspor.com.tr
Västerås SK Fotboll,Sweden,Swedish Football Division 1 Norra,Hitachi Energy Arena,Point(16.530555555 59.6275),https://www.vskfotboll.nu/
Jendouba Sport,Tunisia,Tunisian Ligue Professionnelle 2,Stade Municipal de Jendouba,Point(8.78214 36.4941),http://jendoubasport.net/
Al Ittihad FC,Saudi Arabia,Saudi Pro League,King Abdullah Sports City,Point(39.165096 21.762627),https://ittihadclub.sa/
SC Fortuna Köln,Germany,Regionalliga West,Südstadion,Point(6.94361 50.9175),https://www.fortuna-koeln.de/
SV Wehen Wiesbaden,Germany,3. Liga,BRITA-Arena,Point(8.256667 50.071111),https://svww.de/
Talaba SC,Iraq,Iraqi Premier League,Al Talaba Stadium,Point(44.392694 33.386796),http://altalaba.sportboard.net
Al-Rayyan,Qatar,Stars League,Ahmad bin Ali Stadium,Point(51.341279 25.330538),https://alrayyansc.qa/
Lisburn Distillery F.C.,United Kingdom,NIFL Premiership,New Grosvenor Stadium,Point(-6.003733 54.535925),http://blue.srv2.com/~lisburn/
Belfast Celtic F.C.,United Kingdom,NIFL Premiership,Celtic Park,Point(-5.962551 54.589099),http://www.belfastceltic.org/index1.html
Żurrieq F.C.,Malta,Maltese Second Division,Ta' Qali National Stadium,Point(14.415372222 35.894863888),http://www.zurrieqfc.com/
SV Motor Altenburg,Germany,Thüringenliga,Q2291675,Point(12.4356 50.97),http://www.motor-altenburg.de
SpVgg Ludwigsburg,Germany,Landesliga Wuerttemberg,Ludwig-Jahn-Stadion,Point(9.21139 48.8925),http://www.spVgg07ludwigsburg.de
Melbourne Victory,Australia,A-League Men,Melbourne Rectangular Stadium,Point(144.983889 -37.825278),https://melbournevictory.com.au/
Hallescher FC,Germany,3. Liga,Erdgas Sportpark,Point(11.961944 51.465278),http://www.hallescherfc.de/
Hallescher FC,German Democratic Republic,3. Liga,Erdgas Sportpark,Point(11.961944 51.465278),http://www.hallescherfc.de/
SC Preußen Münster,Germany,3. Liga,Preußenstadion,Point(7.624583 51.929722),https://scpreussen-muenster.de/
FSV Zwickau,Germany,Regionalliga Nordost,Stadion Zwickau,Point(12.519325 50.728539),https://www.fsv-zwickau.de/
N.E.C.,Netherlands,Eredivisie,Stadion de Goffert,Point(5.836667 51.8225),https://www.nec-nijmegen.nl/
MYPA,Finland,Kolmonen,Saviniemi,Point(26.790278 60.772778),http://www.mypa.fi/
HNK Rijeka,Croatia,Prva HNL,Stadion Kantrida,Point(14.380959 45.339202),http://www.nk-rijeka.hr
VfB Fichte Bielefeld,Germany,Landesliga Westfalen,Q2326097,Point(8.56273 52.0207),https://www.vfb-fichte.de/
St. Mirren F.C.,United Kingdom,Scottish Premiership,Love Street,Point(-4.42861111 55.85305556),https://www.stmirren.com/
St. Mirren F.C.,United Kingdom,Scottish Premiership,St. Mirren Park,Point(-4.443889 55.850556),https://www.stmirren.com/
St. Mirren F.C.,United Kingdom,Scottish Premiership,Westmarch,Point(-4.42861 55.8528),https://www.stmirren.com/
Kickers Emden,Germany,Regionalliga Nord,Ostfriesland-Stadion,Point(7.203333 53.379167),http://www.bsv-kickers-emden.de/
Aberystwyth Town F.C.,United Kingdom,Welsh Premier League,Park Avenue,Point(-4.08074 52.4104),https://www.atfc.org.uk/
Lüner SV,Germany,Landesliga Westfalen,Q1723303,Point(7.53669 51.6066),http://www.luener-sv.de
SV Lichtenberg 47,Germany,NOFV-Oberliga,Hans-Zoschke-Stadion,Point(13.48698389 52.51665194),http://www.lichtenberg47.de
SC Herford,Germany,Landesliga Westfalen,Friedrich-Ludwig-Jahn-Stadion,Point(8.688056 52.105278),http://www.sc-herford.de
FC Sion,Switzerland,Swiss Super League,Stade Tourbillon,Point(7.376389 46.233333),http://www.fc-sion.ch/
FC Torpedo Moscow,Russia,Russian Premier League,Luzhniki Stadium,Point(37.553611111 55.715833333),http://www.fc-tm.ru
FC Torpedo Moscow,Russia,Russian Premier League,Eduard Streltsov Stadium,Point(37.656389 55.716389),http://www.fc-tm.ru
FC Unirea Urziceni,Romania,dissolution,Stadionul Tineretului,Point(26.656017 44.712625),http://www.fcunirea.ro/
TuS Celle FC,Germany,Oberliga Niedersachsen,Günther-Volker-Stadion,Point(10.0487 52.6207),http://www.tus-celle-fc.de
SV Lippstadt 08,Germany,Oberliga Westfalen,Q2326041,Point(8.32556 51.6797),http://www.svlippstadt08.de/
FC Grün-Weiß Piesteritz,Germany,NOFV-Oberliga,Volksparkstadion,Point(9.898611 53.586944),http://www.fc-gruen-weiss-piesteritz.de/
Kehler FV,Germany,Oberliga Baden-Württemberg,Q2147955,Point(7.81162 48.563),http://www.kehlerfv.de/
TSV 1860 Rosenheim,Germany,Bayernliga Süd,Q1553794,Point(12.1293 47.8479),http://www.tsv1860-ro.de
SC Tavriya Simferopol,Ukraine,Ukrainian First League,Lokomotiv Republican Sports Complex,Point(34.089722 44.943611),http://tavriya.com.ua
Fehérvár FC,Hungary,Nemzeti Bajnokság I,Sóstói Stadion,Point(18.41536111 47.17369444),https://www.molfehervarfc.hu/
Toronto FC,Canada,Major League Soccer,BMO Field,Point(-79.418611 43.632778),https://www.torontofc.ca/
Houston Dynamo FC,United States of America,Major League Soccer,Shell Energy Stadium,Point(-95.3524 29.7522),https://www.houstondynamo.com
FK Mladá Boleslav,Czech Republic,Czech First League,Městský stadion,Point(14.914783 50.427083),https://www.fkmb.cz
Śląsk Wrocław,Poland,Ekstraklasa,Stadion Miejski,Point(16.944094 51.141797),http://www.slaskwroclaw.pl
Le Havre AC,France,Ligue 2,Stade Océane,Point(0.17164 49.49976),http://www.hac-foot.com
FC Baník Ostrava,Czech Republic,Czech First League,Bazaly,Point(18.299392 49.845111),https://www.fcb.cz/
FC Tom Tomsk,Russia,Russian First League,Trud Stadium,Point(84.95666667 56.47416667),http://fctomtomsk.ru
Sporting Kansas City,United States of America,Major League Soccer,Legends Field,Point(-94.863611 39.124444),https://www.sportingkc.com/
Sporting Kansas City,United States of America,Major League Soccer,GEHA Field at Arrowhead Stadium,Point(-94.483888888 39.048888888),https://www.sportingkc.com/
Sporting Kansas City,United States of America,Major League Soccer,Children's Mercy Park,Point(-94.8237 39.1218),https://www.sportingkc.com/
Sydney FC,Australia,A-League Men,Sydney Football Stadium,Point(151.225277777 -33.889166666),https://sydneyfc.com/
Sydney FC,Australia,A-League Men,Jubilee Oval,Point(151.129167 -33.971944),https://sydneyfc.com/
Sydney FC,Australia,A-League Men,Leichhardt Oval,Point(151.154722 -33.868611),https://sydneyfc.com/
B36 Tórshavn,Faroe Islands,Faroe Islands Premier League,Gundadalur,Point(-6.7811394 62.0193487),http://b36.fo
Valletta F.C.,Malta,Maltese Premier League,Ta' Qali National Stadium,Point(14.415372222 35.894863888),http://www.vallettafc.net/
FBK Kaunas,Lithuania,First League,Darius and Girėnas Stadium,Point(23.936944 54.897222),https://www.fbk-kaunas.lt/
Junior de Barranquilla,Colombia,Categoría Primera A,Estadio Metropolitano Roberto Meléndez,Point(-74.80072222 10.92686111),http://juniorfc.co/
Deportivo Independiente Medellín,Colombia,Categoría Primera A,Atanasio Girardot Sports Complex,Point(-75.590172 6.2568),https://dimoficial.com/
Deportivo Independiente Medellín,Colombia,Copa Colombia,Atanasio Girardot Sports Complex,Point(-75.590172 6.2568),https://dimoficial.com/
Deportes Tolima,Colombia,Categoría Primera A,Estadio Gabriel Camargo Salamanca,Point(-75.218325 4.429509),https://clubdeportestolima.com.co
Deportes Quindío,Colombia,Categoría Primera B,Estadio Centenario,Point(-75.698447 4.515307),http://deportesquindio.com.co
Atlético Nacional,Colombia,Categoría Primera A,Atanasio Girardot Sports Complex,Point(-75.590172 6.2568),https://www.atlnacional.com.co/
Envigado Fútbol Club,Colombia,Categoría Primera A,Estadio Polideportivo Sur,Point(-75.59967 6.164108),http://www.envigadofutbolclub.net/
NAC Breda,Netherlands,Eerste Divisie,Rat Verlegh Stadion,Point(4.750278 51.595556),https://www.nac.nl/
NAC Breda,Netherlands,Eerste Divisie,Rat Verlegh Stadion,Point(4.75028 51.5956),https://www.nac.nl/
Atlético Huila,Colombia,Categoría Primera A,Estadio Guillermo Plazas Alcid,Point(-75.274286 2.936698),http://www.clubatleticohuila.com.co
Willem II,Netherlands,Eerste Divisie,Koning Willem II Stadion,Point(5.066944 51.542778),https://www.willem-ii.nl/
La Equidad,Colombia,Categoría Primera A,Estadio Metropolitano de Techo,Point(-74.135611 4.623545),http://www.equidadclubdeportivo.coop/
FC Ararat Yerevan,Armenia,Armenian Premier League,Republican Stadium,Point(44.525833 40.171944),http://www.fcararat.am
Gold Eagles,Colombia,Categoría Primera A,Estadio Alberto Grisales,Point(-75.3727535 6.1466776),https://aguilasdoradas.com.co/
Asociación Deportivo Pasto,Colombia,Categoría Primera A,Estadio Departamental Libertad,Point(-77.277608 1.198011),http://www.deportivopasto.com.co/
Técnico Universitario,Ecuador,Ecuador Serie A,Estadio Bellavista,Point(-78.623069 -1.244772),https://tecnicouniversitario.com.ec/
Evian Thonon Gaillard F.C.,France,Championnat National 3,"Parc des Sports, Annecy",Point(6.11972 45.91722),https://www.grandgenevefootball.com/
Ünyespor,Turkey,TFF Second League,Ünye İlçe Stadium,Point(37.2855 41.1248),http://www.unyespor.org.tr/
Ünyespor,Turkey,TFF Second League,Ünye İlçe Stadium,Point(37.28555556 41.12472222),http://www.unyespor.org.tr/
FK Vardar,North Macedonia,Macedonian Second Football League,Toše Proeski Arena,Point(21.425592 42.005733),https://fkvardar.mk
Neuchâtel Xamax,Switzerland,Swiss Challenge League,Stade de la Maladière,Point(6.944 46.9952),http://www.xamax.ch/
Dundee F.C.,United Kingdom,Scottish Championship,Dens Park,Point(-2.973194 56.475264),https://dundeefc.co.uk/
Academie de Foot Amadou Diallo,Ivory Coast,Ligue 1 (Ivory Coast),Stade Municipal d'Abidjan,Point(-4.018889 5.341944),http://www.afad.ci/
América Futebol Clube (MG),Brazil,Campeonato Brasileiro Série A,Estádio Independência,Point(-43.917778 -19.908333),http://www.americamineiro.com.br/
Dundalk F.C.,Republic of Ireland,League of Ireland Premier Division,Oriel Park,Point(-6.416917 53.998944),https://www.dundalkfc.com/
Deportes Copiapó,Chile,Chilean Primera División,Estadio Luis Valenzuela Hermosilla,Point(-70.320833 -27.376667),https://www.cdcopiapo.cl/index.html
Atlantis FC,Finland,Kakkonen,Töölön Pallokenttä,Point(24.92472222 60.18583333),http://www.atlantisfc.fi/
FK Rad,Serbia,Serbian First League,Stadion Kralj Petar I,Point(20.472153 44.765156),http://www.fcrad.co.rs/
FK Sūduva Marijampolė,Lithuania,A Lyga,ARVI Football Arena,Point(23.365392 54.574547),http://fksuduva.lt/
FC Torpedo-BelAZ Zhodino,Belarus,Belarusian Premier League,Torpedo Stadium,Point(28.319722222 54.092361111),http://torpedo-belaz.by/
MFK Ružomberok,Slovakia,Slovak First Football League,Štadión MFK Ružomberok,Point(19.28388889 49.0825),https://www.mfkruzomberok.sk/
Asteras Tripoli F.C.,Greece,Super League Greece,Theodoros Kolokotronis Stadium,Point(22.388678 37.502676),https://asterastripolis.gr
Atlètic Club d'Escaldes,Andorra,Primera Divisió,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),https://atleticclubescaldes.com/
Barcelona f.c,Colombia,Categoría Primera A,Estadio Alfonso López,Point(-73.11658889 7.13658889),http://www.atleticobucaramanga.com.co
Barcelona f.c,Colombia,Copa Colombia,Estadio Alfonso López,Point(-73.11658889 7.13658889),http://www.atleticobucaramanga.com.co
Atlético Clube de Portugal,Portugal,LigaPro,Estádio da Tapadinha,Point(-9.18087778 38.70965278),https://www.atleticocp.pt/
Atlético El Vigía,Venezuela,Venezuelan Primera División,Estadio 12 de Febrero,Point(-71.63694444 8.60555556),http://www.elvigiafc.com/
Atlético Petróleos Luanda,Angola,Girabola,Estádio 11 de Novembro,Point(13.283672 -8.969947),http://petroatletico.co.ao
Club América,Venezuela,Venezuelan Primera División,Brígido Iriarte Stadium,Point(-66.941667 10.482778),http://www.atleticovenezuelacf.com
Atromitos F.C.,Greece,Super League Greece,Peristeri Stadium,Point(23.689756 38.004858),https://www.atromitosfc.gr
Audax Italiano,Chile,Chilean Primera División,Estadio Bicentenario de La Florida,Point(-70.578333 -33.540833),https://www.audaxitaliano.cl/
U.S. Cremonese,Italy,Serie A,Stadio Giovanni Zini,Point(10.034722 45.140278),https://www.uscremonese.it/
Stade Lavallois,France,Championnat National,Stade Francis Le Basser,Point(-0.75351 48.08387),https://www.stade-lavallois.com/
Bargh Shiraz F.C.,Iran,Iran Football's 2nd Division,Hafezieh Stadium,Point(52.556062 29.623865),http://www.bargheshiraz.com
Esteghlal Ahvaz F.C.,Iran,Azadegan League,Takhti Stadium,Point(48.665008 31.314397),http://www.esteghlalahwazfc.ir/
Drogheda United F.C.,Republic of Ireland,League of Ireland Premier Division,Hunky Dorys Park,Point(-6.357222 53.723336),https://droghedaunited.ie/
Hapoel Kfar Saba F.C.,Israel,Liga Leumit,Levita Stadium,Point(34.927071 32.181115),https://www.hapoel-kfs.org.il/
G.D. Interclube,Angola,Girabola,Estádio Joaquim Dinis,Point(13.20888889 -8.86888889),http://interclube.co.ao/
Central Coast Mariners FC,Australia,A-League Men,Central Coast Stadium,Point(151.338056 -33.428333),https://ccmariners.com.au/
FC Chomutov,Czech Republic,Czech Fourth Division,Letní stadion,Point(13.418078 50.463904),http://fcchomutov.cz/
Regar-TadAZ Tursunzoda,Soviet Union,Tajik League,Stadium Metallurg 1st District,Point(68.2162 38.51761),http://fcregartadaz.tj/
Semen Padang F.C.,Indonesia,Indonesian Premier League,Haji Agus Salim Sport Complex,Point(100.358333 -0.929444),http://www.semenpadangfc.co.id/
Diósgyőri VTK,Hungary,Nemzeti Bajnokság II,DVTK Stadion,Point(20.717222 48.099444),http://www.dvtk.eu
Augustinians FC,The Gambia,GFA League First Division,Box Bar Stadium,Point(-16.58166667 13.45638889),http://www.stpatsfc.com
Vesoul Haute-Saône,France,Championnat National 3,René-Hologne stadium,Point(6.16828 47.6244),http://www.fcvesoul.com
Céltiga FC,Spain,Tercera División,Q115903055,Point(-8.88092 42.55911),https://celtigafutbolclub.com
Hoogstraten VV,Belgium,Belgian Promotion,Q16062543,Point(4.74964 51.3985),https://www.hoogstratenvv.be/
Clube Atlético do Porto,Brazil,Campeonato Brasileiro Série D,Q48855163,Point(-35.97955 -8.28977),http://www.clubedoporto.com/
Club de Fútbol Monterrey,Mexico,Liga MX,BBVA Stadium,Point(-100.2437 25.670172),https://www.rayados.com/
Al-Shoalah,Saudi Arabia,Saudi Pro League,Al-Shoalah Club Stadium,Point(47.205 24.0957),http://www.alshulh.com
Dinaburg FC,Latvia,Latvian Higher League,Daugava Stadium,Point(26.55053 55.874637),http://www.dinaburg.com
FC AGMK,Uzbekistan,Uzbekistan Super League,AGMK Stadium,Point(69.600019 40.845429),http://www.fc-olmaliq.uz
FK Dinamo Samarqand,Uzbekistan,Uzbekistan Super League,Dynamo Samarkand Stadium,Point(66.96572 39.671785),http://www.fcdinamo.uz/
SD Eibar,Spain,Segunda División,Ipurúa Municipal Stadium,Point(-2.475803 43.181706),http://www.sdeibar.com/
UN Käerjéng 97,Luxembourg,Luxembourg National Division,Stade um Bëchel,Point(5.91682 49.5742),http://www.sport50.com/team/unk/
FK Olimpik,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina,Otoka Stadium,Point(18.358889 43.846111),http://www.olimpik.ba
FK Sloboda Tuzla,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina,Tušanj City Stadium,Point(18.661528 44.54172),http://www.fksloboda.ba
Salgaocar FC,India,Goa Professional League,Duler Stadium,Point(73.816147 15.59849),http://www.salgaocarfc.in
IK Sleipner,Sweden,Swedish Football Division 2,Idrottsparken,Point(16.173055555 58.584166666),http://www.iksleipner.se
FC Dynamo Brest,Belarus,Belarusian Premier League,Regional Sport Complex Brestsky,Point(23.68375 52.089722222),https://dynamo-brest.by/
NK Međimurje,Croatia,Treća HNL,Stadion SRC Mladost,Point(16.422307 46.391531),http://www.nk-medjimurje.hr/
Maccabi kabilio Jaffa F.C.,Israel,Liga Leumit,Ness Ziona Stadium,Point(34.775203 31.915394),http://www.kabiliojaffafc.com
FC Tiraspol,Moldova,Moldovan National Division,Sheriff Stadium,Point(29.5575 46.838333),http://fc-tiraspol.com/
Afan Lido F.C.,United Kingdom,Welsh Premier League,Lido Ground,Point(-3.81889 51.5903),http://www.afanlidofc.com/afan/index.php
Basáñez,Uruguay,Primera División Amateur de Uruguay,"Estadio ""La Bombonera""",Point(-56.121992 -34.878781),http://www.sangreyluto.com/
Aurora F.C.,Guatemala,Primera División de Ascenso,Estadio del Ejército,Point(-90.50972222 14.61555556),http://www.tigresaurorafc.com/
Aurora Pro Patria 1919,Italy,Lega Pro Seconda Divisione,Stadio Carlo Speroni,Point(8.8807582 45.6135074),http://www.aurorapropatria1919.com/
TB Tvøroyri,Faroe Islands,1. deild,Við Stórá,Point(-6.8521 61.5623),http://www.tb.fo/
FC Gifu,Japan,J2 League,Gifu Nagaragawa Stadium,Point(136.766052 35.441337),http://www.fc-gifu.com/
FC Saturn-2 Moscow Region,Russia,Russian Second League,Saturn Stadium,Point(38.22694444 55.57722222),http://www.saturn-fc.ru
FC Astana,Kazakhstan,Kazakhstan Premier League,Astana Arena,Point(71.401667 51.108056),http://fca.kz/
Cliftonville F.C.,United Kingdom,NIFL Premiership,Solitude,Point(-5.947272 54.619517),https://cliftonvillefc.net/
Atlético Malagueño,Spain,Tercera División,Ciudad Deportiva de El Viso,Point(-4.48444444 36.71583333),http://www.malagacf.com/es/atletico-malagueno/plantilla/2/3252
Boldklubben Frem,Denmark,Danish 2nd Division,Valby Idrætspark,Point(12.511847 55.646956),https://bkfrem.dk/
FC Oberneuland,Germany,Regionalliga,Q2312754,Point(8.93039 53.0799),https://www.fcoberneuland.de
Sydney Olympic FC,Australia,National Premier Leagues NSW,Belmore Sports Ground,Point(151.094722 -33.916667),https://sydneyolympicfc.com/
Saipa F.C.,Iran,Iran Pro League,Enghelab Stadium,Point(50.958333 35.850556),http://www.saipasport.com/
PLUS FC,Malaysia,Malaysia Super League,Petaling Jaya Stadium,Point(101.593769444 3.098708333),http://www.plus.com.my/pluslink_fc
R. White Star Bruxelles,Belgium,Belgian First Division B,Edmond Machtens Stadium,Point(4.310556 50.855),http://www.rwsbruxelles.be
Mamelodi Sundowns F.C.,South Africa,South African Premier Division,Loftus Versfeld Stadium,Point(28.223014 -25.753189),https://sundownsfc.co.za/
Vecsési FC,Hungary,Nemzeti Bajnokság II,Stadion Dózsa György út,Point(19.252778 47.404444),http://www.hajravecses.hu/
Estudiantes de Mérida (AKD),Venezuela,Venezuelan Primera División,Estadio Metropolitano de Mérida,Point(-71.216667 8.556389),https://emfc.club/
B71 Sandoy,Faroe Islands,1. deild,Inni í Dal,Point(-6.8268279 61.8586415),http://www.b71-sandoy.com/
BFC Siófok,Hungary,Nemzeti Bajnokság I,Révész Street Stadium,Point(18.061388888 46.909166666),https://www.bfc-siofok.hu/
Mawjhai Amu F.C.,Afghanistan,Afghan Premier League 2023-2024,Afghanistan Football Federation Stadium,Point(69.196667 34.52),http://www.afghanpremierleague.com/teams/mawjhai-amu/
Bangu Atlético Clube,Brazil,Campeonato Brasileiro Série D,Estádio Moça Bonita,Point(-43.456575 -22.872497),https://www.bangu-ac.com.br/
FC Hämeenlinna,Finland,Kakkonen,Kaurialan kenttä,Point(24.441944 60.993611),http://www.fchameenlinna.fi/
FC Jeunesse Canach,Luxembourg,Luxembourg National Division,Stade Rue de Lenningen,Point(6.33467 49.6101),http://www.fccanach.lu
FC Jazz,Finland,Kakkonen,Pori Stadium,Point(21.774444 61.476667),http://www.fcjazz.com/
Khon Kaen F.C.,Thailand,Thai League 2,Khon Kaen Stadium,Point(102.82816 16.412716944),http://www.khonkaenfc.net/
FC Liefering,Austria,Austrian Football Second League,Red Bull Arena,Point(12.998222222 47.81625),https://www.fc-liefering.at/
FC Libourne-Saint-Seurin,France,Championnat National 2,Stade Jean-Antoine Moueix,Point(-0.23501 44.90799),https://www.fclibourne.fr/
F.C. Maia,Portugal,Porto Football Association,Estádio Prof. Dr. José Vieira de Carvalho,Point(-8.61821944 41.23456944),http://www.fcmaia.pt/
FC Mamer 32,Luxembourg,Luxembourg Division of Honour,Stade François Trausch,Point(6.0248 49.6243),http://www.fcmamer32.lu/
Nakhon Ratchasima F.C.,Thailand,Thai League 2,"His Majesty the King's 80th Birthday Anniversary, 5th December 2007 Sports Complex",Point(102.047567 14.927011),http://swatcat-fc.com/
Nakhon Ratchasima F.C.,Thailand,Thai League 1,"His Majesty the King's 80th Birthday Anniversary, 5th December 2007 Sports Complex",Point(102.047567 14.927011),http://swatcat-fc.com/
FC Oberlausitz Neugersdorf,Germany,Regionalliga Nordost,Wunderino Arena,Point(10.130556 54.320556),http://www.ofc-neugersdorf.de/
FC Juniors OÖ,Austria,Austrian Football Second League,Waldstadion,Point(14.226667 48.235556),https://www.fcjuniors.at/
F.C. Penafiel,Portugal,پڕێمەر لیگ,Estádio Municipal 25 de Abril,Point(-8.277919 41.2117),http://www.fcpenafiel.pt/
PFC Pirin Gotse Delchev,Bulgaria,First Professional Football League,Gradski stadion,Point(19.362245 43.362349),http://fc-piringd.com/
Rayong United F.C.,Thailand,Thai League 2,Rayong Province Central Stadium,Point(101.235278 12.68),http://www.prachinburifc.com/
Royal Thai Navy F.C.,Thailand,Thai League 2,Sattahip Navy Stadium,Point(100.935586 12.663963),http://www.navyfc.co.th
FC RM Hamm Benfica,Luxembourg,Luxembourg Division of Honour,Luxembourg-Cents,Point(6.154722222 49.615),https://www.fclcity.lu/home
Army United F.C.,Thailand,Thai League 1,Thai Army Sports Stadium,Point(100.55655 13.782645),https://www.armyufc.com/
FC Ruggell,Liechtenstein,2. Liga,Freizeitpark Widau,Point(9.5238 47.2442),https://www.fcruggell.li/
FC Saint Eloi Lupopo,Democratic Republic of the Congo,Linafoot,Stade Frederic Kibassa Maliba,Point(27.484 -11.7046),http://www.fclupopo.cd/
F.C. Südtirol,Italy,Serie C,Stadio Druso,Point(11.345385 46.49234),http://www.fc-suedtirol.com
TOT S.C.,Thailand,Thai League 1,TOT Stadium Chaeng Watthana,Point(100.57698 13.884131),http://www.totsc.com/
Thanh Hóa F.C.,Vietnam,V.League 1,Thanh Hoa Stadium,Point(105.772746 19.799141),http://bongdathanhhoa.com/
Treze Futebol Clube,Brazil,Campeonato Brasileiro Série C,Estádio Presidente Vargas,Point(-35.89472222 -7.22777778),http://www.trezefc.com.br/
FC Triesen,Liechtenstein,football in Switzerland,Blumenau Stadium,Point(9.5195 47.1102),https://fctriesen.li/
FC Triesenberg,Liechtenstein,3. Liga,Sportanlage Leitawis,Point(9.5401 47.1145),https://www.fctriesenberg.li/
Vale of Leven F.C.,United Kingdom,Scottish Football League,Millburn Park,Point(-4.57794 55.9815),http://www.valeoflevenfc.co.uk/
Vale of Leven F.C.,United Kingdom,Scottish Football Alliance,Millburn Park,Point(-4.57794 55.9815),http://www.valeoflevenfc.co.uk/
Vale of Leven F.C.,United Kingdom,Scottish Junior Football Central Division Two,Millburn Park,Point(-4.57794 55.9815),http://www.valeoflevenfc.co.uk/
FC Vendenheim,France,Division 1 Féminine,Stade Municipal Waldeck,Point(7.72074 48.68193),http://fcvendenheim.fr/filles/
F.C. Vizela,Portugal,پڕێمەر لیگ,Estádio do Futebol Clube de Vizela,Point(-8.30751111 41.38872222),https://fcvizela.pt/
MFK Vítkovice,Czech Republic,Czech 2. Liga,Městský stadion,Point(18.254782 49.804142),https://www.mfkv.cz/
MFK Vítkovice,Czech Republic,Czech 2. Liga,Městský stadion,Point(18.2561 49.8044),https://www.mfkv.cz/
FC Wiltz 71,Luxembourg,Luxembourg National Division,Stade Géitz,Point(5.9274 49.9674),https://www.fcwiltz.com/
TDCS Dong Thap F.C.,Vietnam,V.League 1,Cao Lanh Stadium,Point(105.6425 10.46472222),http://dongthapfc.info
Stal Mielec,Poland,Ekstraklasa,Stadion Stali Mielec,Point(21.435833 50.298611),http://stalmielec.com/
FK Andijan,Uzbekistan,Uzbekistan Super League,Soghlom Avlod Stadium,Point(72.329537 40.812965),http://fcandijon.uz/
FK Andijan,Uzbekistan,Uzbekistan Super League,Soghlom Avlod Stadium,Point(72.329307 40.813663),http://fcandijon.uz/
FK Baník Sokolov,Czech Republic,Czech 2. Liga,Stadion FK Baník Sokolov,Point(12.6567 50.171),https://www.fksokolov.cz/
FK Bohemians Prague,Czech Republic,Czech 2. Liga,Stadion Evžena Rošického,Point(14.3837 50.080428),http://www.bohemiansfc.cz
