clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
Brighton & Hove Albion F.C.,United Kingdom,Premier League,Brighton Community Stadium,Point(-0.083277777 50.861822222),https://www.brightonandhovealbion.com/
Bristol City F.C.,United Kingdom,EFL Championship,Ashton Gate Stadium,Point(-2.620278 51.44),https://www.bcfc.co.uk/
Burnley F.C.,United Kingdom,EFL Championship,Turf Moor,Point(-2.230225 53.789064),http://www.burnleyfootballclub.com/
Charlton Athletic F.C.,United Kingdom,EFL Championship,The Valley,Point(0.035632 51.487489),https://www.cafc.co.uk/
Crystal Palace F.C.,United Kingdom,Premier League,Selhurst Park,Point(-0.085555555 51.398333333),https://www.cpfc.co.uk/
Derby County F.C.,United Kingdom,EFL Championship,Pride Park Stadium,Point(-1.447222222 52.915),https://www.dcfc.co.uk/
Huddersfield Town A.F.C.,United Kingdom,EFL Championship,Kirklees Stadium,Point(-1.768333333 53.654166666),http://www.htafc.com
Hull City A.F.C.,United Kingdom,EFL Championship,MKM Stadium,Point(-0.367777777 53.746111111),https://www.hullcitytigers.com/
Leicester City F.C.,United Kingdom,Premier League,Leicester City Stadium,Point(-1.142222222 52.620277777),https://www.lcfc.com
Millwall F.C.,United Kingdom,EFL Championship,The Den,Point(-0.050833 51.485833),https://www.millwallfc.co.uk/
Nottingham Forest F.C.,United Kingdom,Premier League,City Ground,Point(-1.132778 52.94),https://www.nottinghamforest.co.uk/
Peterborough United F.C.,United Kingdom,EFL League One,London Road Stadium,Point(-0.240389 52.564694),https://www.theposh.com/
Sheffield Wednesday F.C.,United Kingdom,EFL League One,Hillsborough Stadium,Point(-1.500555555 53.411388888),https://www.swfc.co.uk/
Wolverhampton Wanderers F.C.,United Kingdom,Premier League,Molineux Stadium,Point(-2.130277777 52.590277777),https://www.wolves.co.uk/
Stade Rennais F.C.,France,Ligue 1,Roazhon Park,Point(-1.71282 48.10743),http://www.staderennais.com
FC Sochaux-Montbéliard,France,Ligue 2,Stade Auguste Bonal,Point(6.81116 47.51238),http://www.fcsochaux.fr/
Montpellier Hérault Sport Club,France,Ligue 1,Stade de la Mosson,Point(3.81279 43.62061),http://www.mhscfoot.com/
Lille OSC,France,Ligue 1,Pierre Mauroy Stadium,Point(3.130631 50.611962),http://www.losc.fr
Toulouse FC,France,Ligue 1,Stadium Municipal,Point(1.434055 43.583296),http://www.tfc.info/
