clubLabel,countryLabel,leagueLabel,logoImage,venueLabel,coordinates,website
Oud-Heverlee Leuven,Belgium,Belgian First Division A,http://commons.wikimedia.org/wiki/Special:FilePath/Oud-Heverlee%20L%C3%B6wen.svg,Den Dreef,Point(4.694167 50.868333),http://www.ohl.be
Boa Esporte Clube,Brazil,Campeonato Brasileiro Série B,http://commons.wikimedia.org/wiki/Special:FilePath/Boa%20EC%20-%20MG.svg,Melão,Point(-45.414167 -21.57),http://www.boaec.com.br/
Næstved BK,Denmark,Danish 1st Division,http://commons.wikimedia.org/wiki/Special:FilePath/N%C3%A6stved%20BK.png,Næstved Stadion,Point(11.7664 55.2231),http://www.naestvedboldklub.dk
Næstved BK,Denmark,Zealand Series,http://commons.wikimedia.org/wiki/Special:FilePath/N%C3%A6stved%20BK.png,Næstved Stadion,Point(11.7664 55.2231),http://www.naestvedboldklub.dk
SC Fortuna Köln,Germany,Regionalliga West,http://commons.wikimedia.org/wiki/Special:FilePath/SC%20Fortuna%20Koeln%20Logo%202019%E2%80%93.svg,Südstadion,Point(6.94361 50.9175),https://www.fortuna-koeln.de/
Hallescher FC,Germany,3. Liga,http://commons.wikimedia.org/wiki/Special:FilePath/Hallescher%20FC%20Logo%202012.svg,Erdgas Sportpark,Point(11.961944 51.465278),http://www.hallescherfc.de/
Hallescher FC,German Democratic Republic,3. Liga,http://commons.wikimedia.org/wiki/Special:FilePath/Hallescher%20FC%20Logo%202012.svg,Erdgas Sportpark,Point(11.961944 51.465278),http://www.hallescherfc.de/
VfB Fichte Bielefeld,Germany,Landesliga Westfalen,http://commons.wikimedia.org/wiki/Special:FilePath/VfB%20Fichte%20Bielefeld%20Logo.png,Q2326097,Point(8.56273 52.0207),https://www.vfb-fichte.de/
FC Sion,Switzerland,Swiss Super League,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20FC%20Sion.svg,Stade Tourbillon,Point(7.376389 46.233333),http://www.fc-sion.ch/
FC Torpedo Moscow,Russia,Russian Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Torpedo%20Moscow%20Logotype%202023.png,Luzhniki Stadium,Point(37.553611111 55.715833333),http://www.fc-tm.ru
FC Torpedo Moscow,Russia,Russian Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Torpedo%20Moscow%20Logotype%202023.png,Eduard Streltsov Stadium,Point(37.656389 55.716389),http://www.fc-tm.ru
TuS Celle FC,Germany,Oberliga Niedersachsen,http://commons.wikimedia.org/wiki/Special:FilePath/TuS%20Celle%20Logo.png,Günther-Volker-Stadion,Point(10.0487 52.6207),http://www.tus-celle-fc.de
SV Lippstadt 08,Germany,Oberliga Westfalen,http://commons.wikimedia.org/wiki/Special:FilePath/SV%20Lippstadt%2008%20Logo.svg,Q2326041,Point(8.32556 51.6797),http://www.svlippstadt08.de/
Kehler FV,Germany,Oberliga Baden-Württemberg,http://commons.wikimedia.org/wiki/Special:FilePath/Kehlerfv.JPG,Q2147955,Point(7.81162 48.563),http://www.kehlerfv.de/
TSV 1860 Rosenheim,Germany,Bayernliga Süd,http://commons.wikimedia.org/wiki/Special:FilePath/TSV%201860%20Rosenheim%20Logo.svg,Q1553794,Point(12.1293 47.8479),http://www.tsv1860-ro.de
Toronto FC,Canada,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Toronto%20FC%20wordmark%20arched%202007.png,BMO Field,Point(-79.418611 43.632778),https://www.torontofc.ca/
Houston Dynamo FC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Houston%20Dynamo%20FC%202021%20wordmark%20black.svg,Shell Energy Stadium,Point(-95.3524 29.7522),https://www.houstondynamo.com
Houston Dynamo FC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Houston%20Dynamo%20FC%202021%20wordmark%20white.svg,Shell Energy Stadium,Point(-95.3524 29.7522),https://www.houstondynamo.com
FK Mladá Boleslav,Czech Republic,Czech First League,http://commons.wikimedia.org/wiki/Special:FilePath/FK%20Mlad%C3%A1%20Boleslav%20logo.png,Městský stadion,Point(14.914783 50.427083),https://www.fkmb.cz
FC Baník Ostrava,Czech Republic,Czech First League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Ban%C3%ADk%20Ostrava%20%28logo%29.svg,Bazaly,Point(18.299392 49.845111),https://www.fcb.cz/
Sporting Kansas City,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/SKCWordmark-DarkIndigo.svg,Legends Field,Point(-94.863611 39.124444),https://www.sportingkc.com/
Sporting Kansas City,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/SKCWordmark-DarkIndigo.svg,GEHA Field at Arrowhead Stadium,Point(-94.483888888 39.048888888),https://www.sportingkc.com/
Sporting Kansas City,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/SKCWordmark-DarkIndigo.svg,Children's Mercy Park,Point(-94.8237 39.1218),https://www.sportingkc.com/
Junior de Barranquilla,Colombia,Categoría Primera A,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20de%20Atl%C3%A9tico%20Junior.svg,Estadio Metropolitano Roberto Meléndez,Point(-74.80072222 10.92686111),http://juniorfc.co/
Deportivo Independiente Medellín,Colombia,Categoría Primera A,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20Deportivo%20Independiente%20Medell%C3%ADn.svg,Atanasio Girardot Sports Complex,Point(-75.590172 6.2568),https://dimoficial.com/
Deportivo Independiente Medellín,Colombia,Copa Colombia,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20Deportivo%20Independiente%20Medell%C3%ADn.svg,Atanasio Girardot Sports Complex,Point(-75.590172 6.2568),https://dimoficial.com/
Deportes Tolima,Colombia,Categoría Primera A,http://commons.wikimedia.org/wiki/Special:FilePath/Tolima%20Campe%C3%B3n%202018.png,Estadio Gabriel Camargo Salamanca,Point(-75.218325 4.429509),https://clubdeportestolima.com.co
Atlético Nacional,Colombia,Categoría Primera A,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20de%20Atl%C3%A9tico%20Nacional.png,Atanasio Girardot Sports Complex,Point(-75.590172 6.2568),https://www.atlnacional.com.co/
NAC Breda,Netherlands,Eerste Divisie,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20NAC%20Breda.svg,Rat Verlegh Stadion,Point(4.750278 51.595556),https://www.nac.nl/
NAC Breda,Netherlands,Eerste Divisie,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20NAC%20Breda.svg,Rat Verlegh Stadion,Point(4.75028 51.5956),https://www.nac.nl/
Atlético Huila,Colombia,Categoría Primera A,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20de%20Atl%C3%A9tico%20Huila.svg,Estadio Guillermo Plazas Alcid,Point(-75.274286 2.936698),http://www.clubatleticohuila.com.co
La Equidad,Colombia,Categoría Primera A,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Equidad%20Seguros%20logo.svg,Estadio Metropolitano de Techo,Point(-74.135611 4.623545),http://www.equidadclubdeportivo.coop/
FK Vardar,North Macedonia,Macedonian Second Football League,http://commons.wikimedia.org/wiki/Special:FilePath/VardarLOGO.png,Toše Proeski Arena,Point(21.425592 42.005733),https://fkvardar.mk
Neuchâtel Xamax,Switzerland,Swiss Challenge League,http://commons.wikimedia.org/wiki/Special:FilePath/Neuchatel%20Xamax%20FCS.svg,Stade de la Maladière,Point(6.944 46.9952),http://www.xamax.ch/
Criciúma Esporte Clube,Brazil,Campeonato Brasileiro Série A,http://commons.wikimedia.org/wiki/Special:FilePath/EscudoCriciumaEC.svg,Estádio Heriberto Hülse,Point(-49.3675 -28.684167),http://www.criciumaec.com.br/
FBC Melgar,Peru,Peruvian Primera División,http://commons.wikimedia.org/wiki/Special:FilePath/Fbc%20melgar2183819381.jpg,Estadio Monumental Virgen de Chapi,Point(-71.520203 -16.40729),https://fbcmelgar.com.pe/
Unión Comercio,Peru,Peruvian Primera División,http://commons.wikimedia.org/wiki/Special:FilePath/Uncomerciorioja.png,Estadio IPD de Moyobamba,Point(-76.964335 -6.031864),http://clubunioncomercio.com/site/
Club Juan Aurich,Peru,"Peruvian Segunda División, liga 2 peru",http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Aurich.svg,Estadio Elías Aguirre,Point(-79.860833 -6.768333),http://www.clubjuanaurich.com.pe
Tacuary Football Club,Paraguay,Paraguayan División Intermedia,http://commons.wikimedia.org/wiki/Special:FilePath/Club%20Tacuary%20logo%20nuevo.jpg,Estadio Toribio Vargas,Point(-57.606198 -25.283245),http://www.tacuary.com/
Club Nacional,Paraguay,Paraguayan Primera División,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20del%20Club%20Nacional%20de%20Paraguay.png,Estadio Arsenio Erico,Point(-57.639831 -25.298376),http://www.nacionalquerido.com/
Szombathelyi Haladás,Hungary,Nemzeti Bajnokság II,http://commons.wikimedia.org/wiki/Special:FilePath/Szombathelyi%20Haladas%20FC.svg,Haladás Sportkomplexum,Point(16.607117 47.234762),https://www.haladas.hu/
San Martín de Mendoza,Argentina,Torneo Argentino Β,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20Atl%C3%A9tico%20Club%20San%20Mart%C3%ADn.gif,Estadio San Martín,Point(-68.482111111 -33.079722222),http://www.acsanmartin.com.ar/
