clubLabel,countryLabel,leagueLabel,logoImage,venueLabel,coordinates,website
HIFK Fotboll,Finland,Veikkausliiga,http://commons.wikimedia.org/wiki/Special:FilePath/HIFK-Jalkapallo.svg,Bolt Arena,Point(24.9225 60.1875),https://hifkfotboll.fi/
Grêmio Novorizontino,Brazil,Campeonato Paulista Série A2,http://commons.wikimedia.org/wiki/Special:FilePath/Novorizontino.jpg,Estádio Jorge Ismael de Biasi,Point(-49.232135227 -21.466880631),http://www.gremionovorizontino.com.br/
AaB Fodbold,Denmark,Danish Superliga,http://commons.wikimedia.org/wiki/Special:FilePath/Aalborg%20Boldspilklub%20%28logo%29.svg,Aalborg Portland Park,Point(9.8991 57.0515),http://fodbold.aabsport.dk/
Club Nacional de Football,Uruguay,Campeonato Uruguayo Femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20actual%20bolso.png,Estadio Gran Parque Central,Point(-56.159 -34.8845),http://www.nacional.uy/
New York City FC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/New%20York%20City%20FC.png,Yankee Stadium,Point(-73.926392 40.829569),https://www.nycfc.com/
Atlanta United FC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Atlanta%20United%20wordmark%20black.svg,Mercedes-Benz Stadium,Point(-84.400833333 33.755277777),https://www.atlutd.com/
Universitario Popayán,Colombia,Categoría Primera B,http://commons.wikimedia.org/wiki/Special:FilePath/Universitario%20de%20Popay%C3%A1n.png,Estadio Ciro López,Point(-76.5917 2.45444),http://www.universitariopopayan.com.co/
SSV Ulm 1846,Germany,Fußball-Regionalliga Südwest,http://commons.wikimedia.org/wiki/Special:FilePath/SSV%20Ulm%201846%20Fussball.svg,Donaustadion,Point(10.009575 48.404589),https://www.ssvulm1846-fussball.de/
Orlando City SC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Orlando%20City%20SC%20wordmark%20purple.svg,Exploria Stadium,Point(-81.389035 28.5410645),https://www.orlandocitysc.com
Orlando City SC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Orlando%20City%20SC%20wordmark%20white.svg,Exploria Stadium,Point(-81.389035 28.5410645),https://www.orlandocitysc.com
Melbourne Victory FC W-League,Australia,A-League Women,http://commons.wikimedia.org/wiki/Special:FilePath/MVFC%20W-League%20Logo.jpg,Lakeside Stadium,Point(144.965 -37.84027778),http://www.melbournevictory.com.au
Inter Miami CF,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Inter%20Miami%20CF%20wordmark-full%20pink.png,DRV PNK Stadium,Point(-80.161111111 26.193055555),https://www.intermiamicf.com/
Louisville City FC,United States of America,USL Championship,http://commons.wikimedia.org/wiki/Special:FilePath/Louisville%20City%20FC%202020%20logo%20primary.svg,Lynn Family Stadium,Point(-85.7332636 38.2595903),https://loucity.com
Cesena F.C.,Italy,Serie D,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Cesena%20FC%202018.png,Stadio Dino Manuzzi,Point(12.261944 44.140556),https://calciocesena.com
FC Tulsa,United States of America,USL Championship,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Tulsa%20wordmark%20gold.svg,Oneok Field,Point(-95.988056 36.159722),https://www.fctulsa.com
FC Cincinnati,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Cincinnati%202018%20primary%20wordmark%20orange-blue.svg,TQL Stadium,Point(-84.522222222 39.111388888),https://www.fccincinnati.com/
FC Cincinnati,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Cincinnati%202018%20primary%20wordmark%20orange-white.svg,TQL Stadium,Point(-84.522222222 39.111388888),https://www.fccincinnati.com/
FC Balkany Zorya,Ukraine,Ukrainian Second League,http://commons.wikimedia.org/wiki/Special:FilePath/FCBalkany2018.svg,Borys Tropanets Stadium,Point(29.694 46.001083),http://fcbalkans.com.ua/
Los Angeles FC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Los%20Angeles%20Football%20Club.svg,BMO Stadium,Point(-118.285 34.013),https://www.lafc.com/
Europa Point F.C.,United Kingdom,Gibraltar National League,http://commons.wikimedia.org/wiki/Special:FilePath/Europa%20point%20fc%20logo.png,Victoria Stadium,Point(-5.350342 36.149356),http://www.europapointfc.com/
Minnesota United FC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Minnesota%20United%20FC%20wordmark%20dark.svg,Allianz Field,Point(-93.1651 44.9528),https://www.mnufc.com
FC Kolos Kovalivka,Ukraine,Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/FCKolos2018.svg,Kolos Stadium,Point(30.008333333 49.985833333),https://koloskovalivka.com/
Young Boys FD,Denmark,Jutland Series,http://commons.wikimedia.org/wiki/Special:FilePath/Silkeborg%20KFUM%20%28logo-small%29.jpg,Q12338317,Point(9.58798 56.1792),http://www.silkeborgkfum.dk
Utah Royals FC,United States of America,National Women's Soccer League,http://commons.wikimedia.org/wiki/Special:FilePath/URFC%20WordmarkLong%20Cobalt.svg,America First Field,Point(-111.893 40.5829),https://www.rsl.com/utahroyals
Nashville SC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Nashville%20SC%20logo%2C%202020.svg,Nissan Stadium,Point(-86.771388888 36.166388888),https://www.nashvillesc.com/
Nashville SC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Nashville%20SC%20logo%2C%202020.svg,Geodis Park,Point(-86.7676932 36.1309612),https://www.nashvillesc.com/
SV Türkgücü-Ataspor München,Germany,Landesliga Bayern-Südost,http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%BCrkg%C3%BCc%C3%BC%20M%C3%BCnchen%20Logo.svg,Olympic Stadium of Munich,Point(11.546666666 48.173055555),http://www.turkgucu-ataspor.de/
Valour FC,Canada,Canadian Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/Valour%20FC%20logo%20V%20mark.png,IG Field,Point(-97.143056 49.807778),https://valourfc.canpl.ca/
New Mexico United,United States of America,USL Championship,http://commons.wikimedia.org/wiki/Special:FilePath/New%20Mexico%20United%20wordmark.png,Isotopes Park,Point(-106.629166666 35.069722222),https://www.newmexicoutd.com/
Hartford Athletic,United States of America,USL Championship,http://commons.wikimedia.org/wiki/Special:FilePath/Hartford%20Athletic%20wordmark%20stacked%20blue.png,Trinity Health Stadium,Point(-72.661061 41.753783),https://www.hartfordathletic.com/
Accra Lions F.C.,Ghana,Ghana Division One League,http://commons.wikimedia.org/wiki/Special:FilePath/Accra%20lions%20logo.png,Accra Sports Stadium,Point(-0.191944444 5.551388888),http://www.accralions.com/
Juventus F.C. Next Gen,Italy,Serie C,http://commons.wikimedia.org/wiki/Special:FilePath/Juventus%20FC%202017%20icon%20%28black%29.svg,Stadio Giuseppe Moccagatta,Point(8.616580555 44.9203),http://www.juventus.com/it/squadre/next-gen/
Bashundhara Kings,Bangladesh,Bangladesh Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20de%20Bashundhara%20Kings.svg,Bashundhara Kings Arena,Point(90.4699552 23.8239025),http://www.bashundharakings.com/
SC Dnipro-1,Ukraine,Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/SC%20Dnipro-1%20%28Ukraine%29%20white%20background%20CMYK.svg,Dnipro Arena,Point(35.032472 48.460333),https://scdnipro1.com.ua
FC Noah,Armenia,Armenian Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Noah-logo.png,Mika Stadium,Point(44.476449 40.149373),https://fcnoah.am/
California United Strikers FC,United States of America,National Independent Soccer Association,http://commons.wikimedia.org/wiki/Special:FilePath/CalUTD2017.png,Titan Stadium,Point(-117.887 33.8866),https://calutdfc.com/
FC Kuban Holding,Russia,Russian Second League,http://commons.wikimedia.org/wiki/Special:FilePath/KubanHoldingLogo2018.png,Kuban Stadium,Point(38.999444444 45.025277777),http://fckh.ru/
St. Louis City SC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/STLCity%20WordmarkStacked%20Red.svg,Citypark,Point(-90.210921 38.631052),https://www.stlcitysc.com/
St. Louis City SC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/STLCity%20WordmarkStacked%20White.svg,Citypark,Point(-90.210921 38.631052),https://www.stlcitysc.com/
L.R. Vicenza Virtus,Italy,Serie B,http://commons.wikimedia.org/wiki/Special:FilePath/LR%20Vicenza%20Virtus%20%28logo%29.svg,Stadio Romeo Menti,Point(11.555556 45.544167),http://www.lrvicenza.net
Chattanooga Red Wolves SC,United States of America,USL League One,http://commons.wikimedia.org/wiki/Special:FilePath/Chattanooga%20Red%20Wolves%20SC%20interim%20logo.png,Chattanooga Christian School,Point(-85.322 35.014),https://www.chattanoogaredwolves-sc.com/
Lansing Ignite FC,United States of America,USL League One,http://commons.wikimedia.org/wiki/Special:FilePath/Lansing%20Ignite%20FC%202018%20wordmark%20%28dark%20background%29.png,Jackson Field,Point(-84.545278 42.734722),https://www.lansingignite.com/
Lansing Ignite FC,United States of America,USL League One,http://commons.wikimedia.org/wiki/Special:FilePath/Lansing%20Ignite%20FC%202018%20wordmark%20%28on%20blue%20background%29.png,Jackson Field,Point(-84.545278 42.734722),https://www.lansingignite.com/
Memphis 901 FC,United States of America,USL Championship,http://commons.wikimedia.org/wiki/Special:FilePath/Memphis%20901%20FC%20wordmark%20blue%20no-tm.svg,AutoZone Park,Point(-90.049166666 35.143055555),https://www.memphis901fc.com/
Austin FC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Austin%20FC%20wordmark%20green.svg,Q2 Stadium,Point(-97.719837 30.388206),https://www.austinfc.com/
Austin FC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Austin%20FC%20wordmark%20white.svg,Q2 Stadium,Point(-97.719837 30.388206),https://www.austinfc.com/
Forward Madison FC,United States of America,USL League One,http://commons.wikimedia.org/wiki/Special:FilePath/Forward%20Madison%20FC%20wordmark%20dkblue.svg,Breese Stevens Field,Point(-89.3731 43.0831),https://www.forwardmadisonfc.com/
Atlético Ottawa,Canada,Canadian Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/Atl%C3%A9tico%20Ottawa%20wordmark.png,TD Place Stadium,Point(-75.68365 45.398177777),https://atleticoottawa.canpl.ca
Vermont Green FC,United States of America,USL League Two,http://commons.wikimedia.org/wiki/Special:FilePath/VGFC%20stacked%20wordmark%20in%20box%20pine-on-cream.png,Virtue Field,Point(-73.1944 44.4681),https://vermontgreenfc.com/
Delay Sports Berlin,Germany,Fußball-Kreisliga,http://commons.wikimedia.org/wiki/Special:FilePath/Delay%20Sports%20Berlin%20Logo.svg,Preussen-Stadion an der Malteserstraße,Point(13.3548 52.4326),https://www.delaysports-berlin.de/
Club Atlético Argentino women's,Argentina,Campeonato de Fútbol Femenino de Primera División B,http://commons.wikimedia.org/wiki/Special:FilePath/Argentinos%20de%20rosario.png,Estadio José María Olaeta,Point(-60.68376667 -32.90753056),https://argentinorosario.com.ar/
