,club,country,league,venue,coordinates,website,logoImage
77,Brighton & Hove Albion F.C.,England,Premier League,Brighton Community Stadium,-0.083277777 50.861822222,https://www.brightonandhovealbion.com/,
78,Bristol City F.C.,England,EFL Championship,Ashton Gate Stadium,-2.620278 51.44,https://www.bcfc.co.uk/,
79,Burnley F.C.,England,EFL Championship,Turf Moor,-2.230225 53.789064,http://www.burnleyfootballclub.com/,
80,Charlton Athletic F.C.,England,EFL Championship,The Valley,0.035632 51.487489,https://www.cafc.co.uk/,
81,Crystal Palace F.C.,England,Premier League,Selhurst Park,-0.085555555 51.398333333,https://www.cpfc.co.uk/,
82,Derby County F.C.,England,EFL Championship,Pride Park Stadium,-1.447222222 52.915,https://www.dcfc.co.uk/,
83,Huddersfield Town A.F.C.,England,EFL Championship,Kirklees Stadium,-1.768333333 53.654166666,http://www.htafc.com,
84,Hull City A.F.C.,England,EFL Championship,MKM Stadium,-0.367777777 53.746111111,https://www.hullcitytigers.com/,http://commons.wikimedia.org/wiki/Special:FilePath/T88.png
85,Leicester City F.C.,England,Premier League,Leicester City Stadium,-1.142222222 52.620277777,https://www.lcfc.com,http://commons.wikimedia.org/wiki/Special:FilePath/King%20power%20stadium.JPG
86,Millwall F.C.,England,EFL Championship,The Den,-0.050833 51.485833,https://www.millwallfc.co.uk/,
87,Nottingham Forest F.C.,England,Premier League,City Ground,-1.132778 52.94,https://www.nottinghamforest.co.uk/,
88,Peterborough United F.C.,England,EFL League One,London Road Stadium,-0.240389 52.564694,https://www.theposh.com/,
89,Sheffield Wednesday F.C.,England,EFL League One,Hillsborough Stadium,-1.500555555 53.411388888,https://www.swfc.co.uk/,
90,Wolverhampton Wanderers F.C.,England,Premier League,Molineux Stadium,-2.130277777 52.590277777,https://www.wolves.co.uk/,
91,Stade Rennais F.C.,France,Ligue 1,Roazhon Park,-1.71282 48.10743,http://www.staderennais.com,http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Rennais%20%28logo%201960%29.svg
92,FC Sochaux-Montbéliard,France,Ligue 2,Stade Auguste Bonal,6.81116 47.51238,http://www.fcsochaux.fr/,
93,Montpellier Hérault Sport Club,France,Ligue 1,Stade de la Mosson,3.81279 43.62061,http://www.mhscfoot.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Montpellier%20H%C3%A9rault%20Sport%20Club%20%28logo%2C%202000%29.svg
94,Lille OSC,France,Ligue 1,Pierre Mauroy Stadium,3.130631 50.611962,http://www.losc.fr,
95,Toulouse FC,France,Ligue 1,Stadium Municipal,1.434055 43.583296,http://www.tfc.info/,
96,AS Saint-Étienne,France,Ligue 2,Stade Geoffroy-Guichard,4.390171 45.460749,https://www.asse.fr/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AS%20Saint-%C3%89tienne.svg
97,A.S. Nancy-Lorraine,France,Championnat National,Stade Marcel Picot,6.21222 48.696,http://www.asnl.net/,
98,AFC Bournemouth,England,Premier League,Dean Court,-1.838333 50.735278,https://www.afcb.co.uk/,
99,Brentford F.C.,England,Premier League,Griffin Park,-0.302639 51.488167,https://www.brentfordfc.com/,
100,Bury F.C.,England,EFL League One,Gigg Lane,-2.294722222 53.580555555,https://www.buryfc.co.uk/,
101,Carlisle United F.C.,England,EFL League Two,Brunton Park,-2.91365 54.89556,https://www.carlisleunited.co.uk/,
102,Colchester United F.C.,England,EFL League One,Colchester Community Stadium,0.897703 51.9234,https://www.colchesterunited.net/,
103,Coventry City F.C.,England,EFL Championship,Ricoh Arena,-1.495556 52.448056,https://www.ccfc.co.uk/,
104,Crawley Town F.C.,England,EFL League One,The Peoples Pension Stadium,-0.194767 51.099706,https://www.crawleytownfc.com/,
105,R. Charleroi S.C.,Belgium,Belgian First Division A,Stade du Pays de Charleroi,4.453787 50.414609,http://www.sporting-charleroi.be/,
106,Crewe Alexandra F.C.,England,EFL League Two,Alexandra Stadium,-2.435747 53.087419,https://www.crewealex.net/,
107,Doncaster Rovers F.C.,England,EFL League One,Keepmoat Stadium,-1.113889 53.509722,https://www.doncasterroversfc.co.uk/,
108,Hartlepool United F.C.,England,EFL League Two,Victoria Park,-1.212722 54.689139,https://www.hartlepoolunited.co.uk/,
109,Celtic F.C.,Scotland,Scottish Premiership,Celtic Park,-4.205588888 55.849711111,https://www.celticfc.com,
110,Leyton Orient F.C.,England,EFL League Two,Brisbane Road,-0.012639 51.560139,https://www.leytonorient.com/,
111,Rangers F.C.,Scotland,Scottish Premiership,Ibrox Stadium,-4.309166666 55.853055555,https://www.rangers.co.uk/,
112,Notts County F.C.,England,EFL League Two,Meadow Lane,-1.137222 52.9425,https://www.nottscountyfc.co.uk/,
113,Oldham Athletic A.F.C.,England,National League,Boundary Park,-2.128611111 53.555277777,https://www.oldhamathletic.co.uk/,
114,FC Twente,Netherlands,Eredivisie,De Grolsch Veste,6.8375 52.236666666,https://www.fctwente.nl/,
115,Portsmouth F.C.,England,EFL League One,Fratton Park,-1.063888888 50.796388888,https://www.portsmouthfc.co.uk/,
